part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,product_types,brand,availability,product_url
Refrigerator Ice Maker Assembly,PS11765620,W10884390,,Easy ,30 - 60 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Ice maker dispenses too much ice | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11765620-Whirlpool-W10884390-Refrigerator-Ice-Maker-Assembly.htm?SourceCode=18
Refrigerator Replacement Ice Maker,PS2121513,D7824706Q,,Easy ,15 - 30 mins ,Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Ice maker dispenses too little ice,"Refrigerator, Ice Maker.",Whirlpool,In Stock,https://www.partselect.com/PS2121513-Whirlpool-D7824706Q-Replacement-Ice-Maker.htm?SourceCode=18
Refrigerator Replacement Ice Maker,PS358591,4317943,,Easy ,15 - 30 mins ,Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Ice maker dispenses too little ice,"Refrigerator, Ice Maker, Wine and Beverage Cooler.",Whirlpool,In Stock,https://www.partselect.com/PS358591-Whirlpool-4317943-Replacement-Ice-Maker.htm?SourceCode=18
Refrigerator Ice Maker Assembly,PS16221322,243297613,,Easy ,30 - 60 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS16221322-Frigidaire-243297613-Ice-Maker-Assembly.htm?SourceCode=18
Refrigerator Ice Maker,PS1993870,WR30X10093,,Easy ,15 - 30 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Leaking | Ice maker dispenses too little ice,"Refrigerator, Freezer, Ice Maker, Wine and Beverage Cooler.",GE,In Stock,https://www.partselect.com/PS1993870-GE-WR30X10093-Refrigerator-Ice-Maker.htm?SourceCode=18
Refrigerator Ice Maker Replacement,PS11752389,WPW10300022,,Really Easy ,30 - 60 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11752389-Whirlpool-WPW10300022-Refrigerator-Ice-Maker-Replacement.htm?SourceCode=18
Refrigerator Ice Bucket,PS11757044,WPW10670845,,Really Easy ,15 - 30 mins ,Leaking | Ice maker won’t dispense ice | Ice maker not making ice,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11757044-Whirlpool-WPW10670845-Refrigerator-Ice-Bucket.htm?SourceCode=18
Refrigerator 8 Cube Ice Maker Assembly,PS869316,2198597,,Easy ,15 - 30 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Leaking | Won’t start,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS869316-Whirlpool-2198597-8-Cube-Ice-Maker-Assembly.htm?SourceCode=18
Refrigerator Door Gasket (white),PS9493819,242193206,,Very Easy ,15 - 30 mins ,Door won’t open or close | Door Sweating | Fridge too warm | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS9493819-Frigidaire-242193206-Refrigerator-Door-Gasket-White.htm?SourceCode=18
Refrigerator Door Gasket (gray),PS11759515,W10830162,,Very Easy ,15 - 30 mins ,Door Sweating | Door won’t open or close | Fridge too cold | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11759515-Whirlpool-W10830162-Door-Gasket-Gray.htm?SourceCode=18
Refrigerator Door Gasket,PS7784009,242193213,,Really Easy ,Less than 15 mins ,Door won’t open or close | Fridge too warm | Door Sweating | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS7784009-Frigidaire-242193213-Refrigerator-Door-Gasket.htm?SourceCode=18
Refrigerator Door Gasket,PS12069725,W10830046,,Easy ,Less than 15 mins ,Door Sweating | Door won’t open or close | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS12069725-Whirlpool-W10830046-Door-Gasket.htm?SourceCode=18
Refrigerator Door Gasket (black),PS9493822,242193212,,Really Easy ,30 - 60 mins ,Door won’t open or close | Fridge too warm | Leaking | Door Sweating,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS9493822-Frigidaire-242193212-Refrigerator-Door-Gasket-Black.htm?SourceCode=18
Refrigerator Gray Door Gasket (right Side),PS11759512,W10830055,,Very Easy ,15 - 30 mins ,Door Sweating | Door won’t open or close | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11759512-Whirlpool-W10830055-Gray-Refrigerator-Door-Gasket-Right-Side.htm?SourceCode=18
Refrigerator Door Gasket,PS11759518,W10830274,,Very Easy ,Less than 15 mins ,Door Sweating | Door won’t open or close,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11759518-Whirlpool-W10830274-Door-Gasket.htm?SourceCode=18
Refrigerator Door Gasket (white),PS11759516,W10830189,,Very Easy ,15 - 30 mins ,Door Sweating | Door won’t open or close | Fridge too warm | Fridge too cold,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11759516-Whirlpool-W10830189-Refrigerator-Door-Gasket-White.htm?SourceCode=18
Refrigerator Freezer Gasket,PS11766245,5304505782,,N/A,N/A,Frost buildup | Leaking | Door Sweating | Door won’t open or close,"Refrigerator, Freezer.",Frigidaire,In Stock,https://www.partselect.com/PS11766245-Frigidaire-5304505782-Refrigerator-Freezer-Gasket.htm?SourceCode=18
Refrigerator Fresh Food Door Gasket (black),PS1991436,241872512,,Really Easy ,Less than 15 mins ,Door won’t open or close | Fridge too warm | Door Sweating | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS1991436-Frigidaire-241872512-Fresh-Food-Door-Gasket-Black.htm?SourceCode=18
Refrigerator Light Bulb (40w),PS217532,40A15,,Really Easy ,15 - 30 mins ,N/A,"Refrigerator, Range, Wall Oven, Microwave Oven Combo.",GE,In Stock,https://www.partselect.com/PS217532-GE-40A15-Light-Bulb-40W.htm?SourceCode=18
Refrigerator Led Light Module,PS16555201,W11527432,,Really Easy ,15 - 30 mins ,Light not working,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS16555201-Whirlpool-W11527432-LED-Light-Module.htm?SourceCode=18
Refrigerator Light Bulb,PS12751166,316538904,,Really Easy ,15 - 30 mins ,N/A,"Refrigerator, Range, Wall Oven, Microwave Oven Combo.",Frigidaire,In Stock,https://www.partselect.com/PS12751166-Frigidaire-316538904-Light-Bulb.htm?SourceCode=18
Refrigerator Light Bulb (40w),PS884734,8009,,Really Easy ,15 - 30 mins ,N/A,"Refrigerator, Range, Wall Oven, Dryer.",Whirlpool,In Stock,https://www.partselect.com/PS884734-Whirlpool-8009-Refrigerator-Light-Bulb-40w.htm?SourceCode=18
Refrigerator Module,PS12070396,W11043011,,Really Easy ,Less than 15 mins ,Light not working,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS12070396-Whirlpool-W11043011-Refrigerator-Module.htm?SourceCode=18
Refrigerator Light Bulb,PS12364857,5304511738,,Easy ,1- 2 hours ,N/A,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS12364857-Frigidaire-5304511738-LIGHT-BULB.htm?SourceCode=18
